LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1201959.516240,1201959.516240,1760631889.239774,85392.909,11356,11,PR,1,100,112324
1201959.525967,1201959.525967,1760631889.249501,85402.636,11356,11,PR,1,100,112341
1201959.535694,1201959.535694,1760631889.259228,85412.364,11356,11,PR,1,100,112303
1201959.545421,1201959.545422,1760631889.268956,85422.091,11356,11,PR,1,100,112309
1201959.555148,1201959.555149,1760631889.278683,85431.818,11356,11,PR,1,100,112306
1201959.564876,1201959.564876,1760631889.288410,85441.545,11356,11,PR,1,100,112317
1201959.574603,1201959.574603,1760631889.298137,85451.273,11356,11,PR,1,100,112301
1201959.584330,1201959.584330,1760631889.307865,85461.000,11356,11,PR,1,100,112293
1201959.594663,1201959.594664,1760631889.318198,85471.333,11372,9,PR,1,100,112309
1201959.604997,1201959.604997,1760631889.328531,85481.667,11372,9,PR,1,100,112307
1201959.615330,1201959.615330,1760631889.338865,85492.000,11372,9,PR,1,100,112312
1201959.625663,1201959.625664,1760631889.349198,85502.333,11372,9,PR,1,100,112308
1201959.635996,1201959.635997,1760631889.359531,85512.667,11372,9,PR,1,100,112324
1201959.646330,1201959.646330,1760631889.369864,85523.000,11372,9,PR,1,100,112328
1201959.656663,1201959.656663,1760631889.380198,85533.333,11372,9,PR,1,100,112326
1201959.666996,1201959.666997,1760631889.390531,85543.667,11372,9,PR,1,100,112306
1201959.677330,1201959.677330,1760631889.400864,85554.000,11372,9,PR,1,100,112320
1201959.687057,1201959.687057,1760631889.410591,85563.727,11387,11,PR,1,100,112320
1201959.696784,1201959.696784,1760631889.420319,85573.455,11387,11,PR,1,100,112345
1201959.706511,1201959.706512,1760631889.430046,85583.182,11387,11,PR,1,100,112302
1201959.716238,1201959.716239,1760631889.439773,85592.909,11387,11,PR,1,100,112319
1201959.725966,1201959.725966,1760631889.449500,85602.636,11387,11,PR,1,100,112319
1201959.735693,1201959.735693,1760631889.459228,85612.364,11387,11,PR,1,100,112329
1201959.745420,1201959.745420,1760631889.468955,85622.091,11387,11,PR,1,100,112286
1201959.755147,1201959.755148,1760631889.478682,85631.818,11387,11,PR,1,100,112319
1201959.764875,1201959.764875,1760631889.488409,85641.545,11387,11,PR,1,100,112317
1201959.774602,1201959.774602,1760631889.498137,85651.273,11387,11,PR,1,100,112312
1201959.784329,1201959.784329,1760631889.507864,85661.000,11387,11,PR,1,100,112299
1201959.794662,1201959.794663,1760631889.518197,85671.333,11403,9,PR,1,100,112316
1201959.804996,1201959.804996,1760631889.528530,85681.667,11403,9,PR,1,100,112301
1201959.815329,1201959.815329,1760631889.538864,85692.000,11403,9,PR,1,100,112347
1201959.825662,1201959.825662,1760631889.549197,85702.333,11403,9,PR,1,100,112298
1201959.835995,1201959.835996,1760631889.559530,85712.667,11403,9,PR,1,100,112324
