LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1032512.422039,1032512.422041,1760462442.234919,124541.000,17476,3,AY,1,100,0.074
1032512.462040,1032512.462041,1760462442.274920,124581.000,17494,2,AY,1,100,0.067
1032512.502040,1032512.502042,1760462442.314920,124621.000,17494,2,AY,1,100,0.082
1032512.542041,1032512.542042,1760462442.354921,124661.000,17509,3,AY,1,100,0.074
1032512.582041,1032512.582043,1760462442.394922,124701.000,17509,3,AY,1,100,0.068
1032512.622042,1032512.622044,1760462442.434922,124741.000,17509,3,AY,1,100,0.073
1032512.662043,1032512.662044,1760462442.474923,124781.000,17525,2,AY,1,100,0.074
1032512.702043,1032512.702045,1760462442.514924,124821.000,17525,2,AY,1,100,0.074
1032512.742044,1032512.742045,1760462442.554924,124861.000,17540,3,AY,1,100,0.070
1032512.782044,1032512.782046,1760462442.594925,124901.000,17540,3,AY,1,100,0.069
1032512.822045,1032512.822047,1760462442.634926,124941.000,17540,3,AY,1,100,0.078
1032512.862045,1032512.862047,1760462442.674927,124981.000,17557,3,AY,1,100,0.070
1032512.902046,1032512.902048,1760462442.714927,125021.000,17557,3,AY,1,100,0.076
1032512.942047,1032512.942048,1760462442.754928,125061.000,17557,3,AY,1,100,0.074
1032512.982047,1032512.982049,1760462442.794929,125101.000,17573,2,AY,1,100,0.073
1032513.022048,1032513.022049,1760462442.834929,125141.000,17573,2,AY,1,100,0.075
1032513.062048,1032513.062050,1760462442.874930,125181.000,17589,3,AY,1,100,0.081
1032513.102049,1032513.102051,1760462442.914931,125221.000,17589,3,AY,1,100,0.075
1032513.142050,1032513.142051,1760462442.954931,125261.000,17589,3,AY,1,100,0.078
1032513.182050,1032513.182052,1760462442.994932,125301.000,17605,2,AY,1,100,0.078
1032513.222051,1032513.222052,1760462443.034933,125341.000,17605,2,AY,1,100,0.079
1032513.268551,1032513.268553,1760462443.081434,125387.500,17621,2,AY,1,100,0.079
