LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032550.369597,1032550.369596,1760462480.182567,162488.000,23495,9,PG,1,100,5969
1032550.379930,1032550.379929,1760462480.192900,162498.333,23495,9,PG,1,100,5988
1032550.390264,1032550.390263,1760462480.203234,162508.667,23495,9,PG,1,100,5972
1032550.400597,1032550.400596,1760462480.213567,162519.000,23495,9,PG,1,100,5966
1032550.410931,1032550.410930,1760462480.223901,162529.333,23495,9,PG,1,100,5974
1032550.421264,1032550.421263,1760462480.234235,162539.667,23495,9,PG,1,100,5984
1032550.431598,1032550.431597,1760462480.244568,162550.000,23495,9,PG,1,100,5979
1032550.441325,1032550.441324,1760462480.254295,162559.727,23513,11,PG,1,100,5965
1032550.451052,1032550.451052,1760462480.264023,162569.455,23513,11,PG,1,100,5942
1032550.460780,1032550.460779,1760462480.273750,162579.182,23513,11,PG,1,100,5991
1032550.470507,1032550.470507,1760462480.283478,162588.909,23513,11,PG,1,100,5991
1032550.480235,1032550.480234,1760462480.293205,162598.636,23513,11,PG,1,100,6018
1032550.489962,1032550.489961,1760462480.302933,162608.364,23513,11,PG,1,100,6000
1032550.499690,1032550.499689,1760462480.312660,162618.091,23513,11,PG,1,100,5975
1032550.509417,1032550.509416,1760462480.322387,162627.818,23513,11,PG,1,100,5997
1032550.519144,1032550.519144,1760462480.332115,162637.545,23513,11,PG,1,100,5996
1032550.528872,1032550.528871,1760462480.341842,162647.273,23513,11,PG,1,100,5999
1032550.538599,1032550.538598,1760462480.351570,162657.000,23513,11,PG,1,100,6021
1032550.549299,1032550.549299,1760462480.362270,162667.700,23529,10,PG,1,100,5977
1032550.559999,1032550.559999,1760462480.372970,162678.400,23529,10,PG,1,100,6036
1032550.570700,1032550.570699,1760462480.383670,162689.100,23529,10,PG,1,100,5967
1032550.581400,1032550.581399,1760462480.394371,162699.800,23529,10,PG,1,100,5996
1032550.592100,1032550.592099,1760462480.405071,162710.500,23529,10,PG,1,100,6002
1032550.602800,1032550.602799,1760462480.415771,162721.200,23529,10,PG,1,100,6000
1032550.613500,1032550.613500,1760462480.426471,162731.900,23529,10,PG,1,100,5994
1032550.624200,1032550.624200,1760462480.437171,162742.600,23529,10,PG,1,100,6023
1032550.634901,1032550.634900,1760462480.447871,162753.300,23529,10,PG,1,100,6012
1032550.645601,1032550.645600,1760462480.458572,162764.000,23529,10,PG,1,100,6001
1032550.655934,1032550.655933,1760462480.468905,162774.333,23543,9,PG,1,100,5999
1032550.666268,1032550.666267,1760462480.479239,162784.667,23543,9,PG,1,100,6001
1032550.676601,1032550.676600,1760462480.489572,162795.000,23543,9,PG,1,100,6014
1032550.686935,1032550.686934,1760462480.499906,162805.333,23543,9,PG,1,100,5989
1032550.697268,1032550.697267,1760462480.510239,162815.667,23543,9,PG,1,100,5980
1032550.707602,1032550.707601,1760462480.520573,162826.000,23543,9,PG,1,100,5998
1032550.717935,1032550.717934,1760462480.530906,162836.333,23543,9,PG,1,100,6023
1032550.728269,1032550.728268,1760462480.541240,162846.667,23543,9,PG,1,100,6011
1032550.738602,1032550.738601,1760462480.551573,162857.000,23543,9,PG,1,100,6020
1032550.748330,1032550.748329,1760462480.561301,162866.727,23559,11,PG,1,100,6023
1032550.758057,1032550.758056,1760462480.571028,162876.455,23559,11,PG,1,100,6036
1032550.767784,1032550.767784,1760462480.580755,162886.182,23559,11,PG,1,100,6017
1032550.777512,1032550.777511,1760462480.590483,162895.909,23559,11,PG,1,100,6066
1032550.787239,1032550.787238,1760462480.600210,162905.636,23559,11,PG,1,100,6041
1032550.796967,1032550.796966,1760462480.609938,162915.364,23559,11,PG,1,100,6032
1032550.806694,1032550.806693,1760462480.619665,162925.091,23559,11,PG,1,100,6027
1032550.816421,1032550.816421,1760462480.629393,162934.818,23559,11,PG,1,100,6033
1032550.826149,1032550.826148,1760462480.639120,162944.545,23559,11,PG,1,100,6015
1032550.835876,1032550.835875,1760462480.648848,162954.273,23559,11,PG,1,100,6012
1032550.845604,1032550.845603,1760462480.658575,162964.000,23559,11,PG,1,100,6014
1032550.855937,1032550.855936,1760462480.668909,162974.333,23575,9,PG,1,100,6045
1032550.866271,1032550.866270,1760462480.679242,162984.667,23575,9,PG,1,100,6002
1032550.876604,1032550.876603,1760462480.689576,162995.000,23575,9,PG,1,100,6013
1032550.886938,1032550.886937,1760462480.699909,163005.333,23575,9,PG,1,100,6005
1032550.897271,1032550.897270,1760462480.710243,163015.667,23575,9,PG,1,100,5996
1032550.907605,1032550.907604,1760462480.720576,163026.000,23575,9,PG,1,100,5970
1032550.917938,1032550.917937,1760462480.730910,163036.333,23575,9,PG,1,100,5972
1032550.928272,1032550.928271,1760462480.741243,163046.667,23575,9,PG,1,100,5992
1032550.938605,1032550.938604,1760462480.751577,163057.000,23575,9,PG,1,100,5999
