LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1032480.024563,92144.000,171465,5989,113199
1032480.035163,92154.600,171450,5988,113194
1032480.045763,92165.200,171403,5957,113173
1032480.056363,92175.800,171436,5972,113194
1032480.066964,92186.400,171446,5960,113187
1032480.077564,92197.000,171422,5963,113174
1032480.086964,92206.400,171465,5969,113172
1032480.096364,92215.800,171443,5970,113168
1032480.105764,92225.200,171444,5963,113176
1032480.115164,92234.600,171464,5964,113200
1032480.124564,92244.000,171440,5950,113178
1032480.133964,92253.400,171445,5984,113208
1032480.143365,92262.800,171464,5981,113190
1032480.152765,92272.200,171463,5961,113192
1032480.162165,92281.600,171480,6011,113202
1032480.171565,92291.000,171491,5997,113172
1032480.182165,92301.600,171476,5974,113183
1032480.192765,92312.200,171450,5976,113183
1032480.203366,92322.800,171455,5987,113156
1032480.213966,92333.400,171431,5976,113196
1032480.224566,92344.000,171454,5981,113179
1032480.235166,92354.600,171443,5969,113184
1032480.245766,92365.200,171440,5969,113154
1032480.256366,92375.800,171473,5969,113196
1032480.266966,92386.400,171442,5990,113171
1032480.277567,92397.000,171452,5992,113151
