LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1759437229.969371,158079.000,22574,3,GZ,1,100,-0.183
1759437230.009372,158119.000,22574,3,GZ,1,100,-0.122
1759437230.049373,158159.000,22588,2,GZ,1,100,-0.122
1759437230.089374,158199.000,22588,2,GZ,1,100,-0.183
1759437230.129375,158239.000,22605,3,GZ,1,100,-0.214
1759437230.169375,158279.000,22605,3,GZ,1,100,-0.153
1759437230.209376,158319.000,22605,3,GZ,1,100,-0.153
1759437230.249377,158359.000,22620,3,GZ,1,100,-0.183
1759437230.289378,158399.000,22620,3,GZ,1,100,-0.275
1759437230.329379,158439.000,22620,3,GZ,1,100,-0.214
1759437230.369379,158479.000,22636,2,GZ,1,100,-0.092
1759437230.409380,158519.000,22636,2,GZ,1,100,-0.244
1759437230.449381,158559.000,22650,3,GZ,1,100,-0.092
1759437230.489382,158599.000,22650,3,GZ,1,100,-0.183
1759437230.529383,158639.000,22650,3,GZ,1,100,-0.183
1759437230.569383,158679.000,22667,2,GZ,1,100,-0.183
1759437230.609384,158719.000,22667,2,GZ,1,100,-0.183
1759437230.649385,158759.000,22683,3,GZ,1,100,-0.092
1759437230.689386,158799.000,22683,3,GZ,1,100,-0.183
1759437230.729387,158839.000,22683,3,GZ,1,100,-0.153
1759437230.775388,158885.000,22699,2,GZ,1,100,-0.122
1759437230.821388,158931.000,22699,2,GZ,1,100,-0.122
1759437230.861389,158971.000,22715,2,GZ,1,100,-0.092
1759437230.901390,159011.000,22715,2,GZ,1,100,-0.122
1759437230.941391,159051.000,22730,3,GZ,1,100,-0.153
1759437230.981392,159091.000,22730,3,GZ,1,100,-0.214
1759437231.021393,159131.000,22730,3,GZ,1,100,-0.183
1759437231.061393,159171.000,22745,3,GZ,1,100,-0.122
1759437231.101394,159211.000,22745,3,GZ,1,100,-0.183
1759437231.141395,159251.000,22745,3,GZ,1,100,-0.183
1759437231.181396,159291.000,22762,2,GZ,1,100,-0.153
1759437231.221397,159331.000,22762,2,GZ,1,100,-0.153
1759437231.261398,159371.000,22779,3,GZ,1,100,-0.153
1759437231.301398,159411.000,22779,3,GZ,1,100,-0.183
1759437231.341399,159451.000,22779,3,GZ,1,100,-0.214
1759437231.381400,159491.000,22794,2,GZ,1,100,-0.122
1759437231.421401,159531.000,22794,2,GZ,1,100,-0.214
1759437231.461402,159571.000,22810,3,GZ,1,100,-0.183
1759437231.501402,159611.000,22810,3,GZ,1,100,-0.183
1759437231.541403,159651.000,22810,3,GZ,1,100,-0.214
1759437231.581404,159691.000,22826,2,GZ,1,100,-0.214
1759437231.621405,159731.000,22826,2,GZ,1,100,-0.336
1759437231.661406,159771.000,22843,3,GZ,1,100,-0.275
1759437231.701406,159811.000,22843,3,GZ,1,100,-0.305
1759437231.741407,159851.000,22843,3,GZ,1,100,-0.275
1759437231.787908,159897.500,22858,2,GZ,1,100,-0.275
1759437231.834409,159944.000,22858,2,GZ,1,100,-0.244
1759437231.874410,159984.000,22874,2,GZ,1,100,-0.214
1759437231.914411,160024.000,22874,2,GZ,1,100,-0.183
1759437231.954412,160064.000,22890,3,GZ,1,100,-0.214
1759437231.994412,160104.000,22890,3,GZ,1,100,-0.183
1759437232.034413,160144.000,22890,3,GZ,1,100,-0.183
1759437232.074414,160184.000,22907,2,GZ,1,100,-0.275
1759437232.114415,160224.000,22907,2,GZ,1,100,-0.214
1759437232.154416,160264.000,22923,3,GZ,1,100,-0.153
1759437232.194417,160304.000,22923,3,GZ,1,100,-0.244
1759437232.234417,160344.000,22923,3,GZ,1,100,-0.244
1759437232.274418,160384.000,22938,3,GZ,1,100,-0.275
1759437232.314419,160424.000,22938,3,GZ,1,100,-0.183
1759437232.354420,160464.000,22938,3,GZ,1,100,-0.183
1759437232.394421,160504.000,22954,2,GZ,1,100,-0.122
1759437232.434422,160544.000,22954,2,GZ,1,100,0.000
1759437232.474422,160584.000,22970,3,GZ,1,100,-0.122
1759437232.514423,160624.000,22970,3,GZ,1,100,-0.153
1759437232.554424,160664.000,22970,3,GZ,1,100,-0.122
1759437232.594425,160704.000,22985,2,GZ,1,100,-0.122
1759437232.634426,160744.000,22985,2,GZ,1,100,-0.153
1759437232.674426,160784.000,23000,3,GZ,1,100,-0.061
1759437232.714427,160824.000,23000,3,GZ,1,100,-0.122
1759437232.754428,160864.000,23000,3,GZ,1,100,-0.122
1759437232.794429,160904.000,23016,2,GZ,1,100,-0.061
1759437232.834430,160944.000,23016,2,GZ,1,100,-0.122
1759437232.879097,160988.667,23032,3,GZ,1,100,-0.214
1759437232.923765,161033.333,23032,3,GZ,1,100,-0.153
1759437232.968432,161078.000,23032,3,GZ,1,100,-0.214
1759437233.008433,161118.000,23048,2,GZ,1,100,-0.214
1759437233.048434,161158.000,23048,2,GZ,1,100,-0.183
1759437233.088435,161198.000,23062,3,GZ,1,100,-0.153
1759437233.128436,161238.000,23062,3,GZ,1,100,-0.153
1759437233.168437,161278.000,23062,3,GZ,1,100,-0.122
1759437233.208437,161318.000,23079,2,GZ,1,100,-0.153
1759437233.248438,161358.000,23079,2,GZ,1,100,-0.122
