LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1032519.918488,1032519.918486,1760462449.731382,130722.000,18265,3,GY,1,100,-0.092
1032519.958491,1032519.958489,1760462449.771385,130762.000,18265,3,GY,1,100,-0.031
1032519.998494,1032519.998492,1760462449.811388,130802.000,18265,3,GY,1,100,0.488
1032520.038497,1032520.038495,1760462449.851392,130842.000,18279,2,GY,1,100,1.068
1032520.078500,1032520.078498,1760462449.891395,130882.000,18279,2,GY,1,100,0.885
1032520.118503,1032520.118501,1760462449.931398,130922.000,18296,3,GY,1,100,-0.336
1032520.158506,1032520.158504,1760462449.971401,130962.000,18296,3,GY,1,100,-0.580
1032520.198509,1032520.198507,1760462450.011404,131002.000,18296,3,GY,1,100,0.519
1032520.238512,1032520.238510,1760462450.051407,131042.000,18313,2,GY,1,100,-0.153
1032520.278515,1032520.278513,1760462450.091410,131082.000,18313,2,GY,1,100,0.214
1032520.318518,1032520.318516,1760462450.131413,131122.000,18329,3,GY,1,100,0.427
1032520.358521,1032520.358519,1760462450.171417,131162.000,18329,3,GY,1,100,-0.061
1032520.398524,1032520.398522,1760462450.211420,131202.000,18329,3,GY,1,100,0.732
1032520.438027,1032520.438025,1760462450.250922,131241.500,18344,2,GY,1,100,1.190
1032520.477530,1032520.477528,1760462450.290426,131281.000,18344,2,GY,1,100,-0.671
1032520.522200,1032520.522198,1760462450.335096,131325.667,18360,3,GY,1,100,0.702
1032520.566870,1032520.566868,1760462450.379766,131370.333,18360,3,GY,1,100,0.458
1032520.611540,1032520.611538,1760462450.424436,131415.000,18360,3,GY,1,100,1.251
1032520.651543,1032520.651541,1760462450.464439,131455.000,18375,2,GY,1,100,0.763
1032520.691546,1032520.691544,1760462450.504442,131495.000,18375,2,GY,1,100,-0.641
1032520.731549,1032520.731547,1760462450.544445,131535.000,18391,3,GY,1,100,1.007
1032520.771552,1032520.771550,1760462450.584448,131575.000,18391,3,GY,1,100,0.610
1032520.811555,1032520.811553,1760462450.624451,131615.000,18391,3,GY,1,100,0.427
1032520.851558,1032520.851556,1760462450.664454,131655.000,18409,2,GY,1,100,1.007
1032520.891561,1032520.891559,1760462450.704458,131695.000,18409,2,GY,1,100,-0.885
1032520.931564,1032520.931562,1760462450.744461,131735.000,18424,3,GY,1,100,0.671
1032520.971567,1032520.971565,1760462450.784464,131775.000,18424,3,GY,1,100,-0.763
1032521.011570,1032521.011568,1760462450.824467,131815.000,18424,3,GY,1,100,2.350
